Data Path,Object Name,Segmentation Method,Reconstruction Method,mean usdf,mean sdf,mean squared sdf,mean haus dist,min haus dist,max haus dist,RMS haus dist
Data,YcbMustardBottle,BackFlow,point-to-plane,0.005117683,0.004831073,0.0020847716,0.00044739304576069117,1.8053427993436344e-05,0.006135782692581415,0.0005537783144973218
Data,YcbMustardBottle,BackFlow,robot-joints,0.0035905277,-0.0007223822,3.752737e-05,0.0016591839957982302,2.345853090446326e-06,0.011219414882361889,0.002552991732954979
Data,YcbMustardBottle,OSVOS,point-to-plane,0.0009764233,0.0007035115,3.322316e-05,0.0006988922250457108,1.57475151354447e-05,0.006297802086919546,0.0007950055878609419
Data,YcbMustardBottle,OSVOS,robot-joints,0.0028583398,-0.001444244,1.7173003e-05,0.001653408515267074,2.345853090446326e-06,0.011219414882361889,0.0025506254751235247
Data_stuck,YcbMustardBottle,BackFlow,point-to-plane,0.0048007034,0.004574794,0.0018044147,0.00043950736289843917,1.544530277897138e-05,0.00494099035859108,0.0005645722849294543
Data_stuck,YcbMustardBottle,BackFlow,robot-joints,0.001573864,0.00025996834,2.3661578e-05,0.0004023095825687051,1.9938795958296396e-05,0.004946445114910603,0.0005064764991402626
Data_stuck,YcbMustardBottle,OSVOS,point-to-plane,0.00043890823,0.00015532215,3.656868e-06,0.0004267148033250123,9.337596566183493e-06,0.004920102655887604,0.0005372414016164839
Data_stuck,YcbMustardBottle,OSVOS,robot-joints,0.00087337696,-0.0005184333,4.7254202e-06,0.00039479861152358353,1.9938795958296396e-05,0.004946445114910603,0.0004989036242477596
Data,YcbGelatinBox,BackFlow,point-to-plane,0.0021621487,0.0015621121,8.9729954e-05,0.000534960301592946,1.3942704754299484e-05,0.007299430202692747,0.0007584886625409126
Data,YcbGelatinBox,BackFlow,robot-joints,0.0028958737,0.0023600047,0.0001046449,0.0007066167308948934,9.614106602384709e-06,0.007483766879886389,0.0010909087723121047
Data,YcbGelatinBox,OSVOS,point-to-plane,0.0021632165,0.0017473109,6.2113664e-05,0.0008753812871873379,1.0320351975678932e-05,0.007292745169252157,0.0012519244337454438
Data,YcbGelatinBox,OSVOS,robot-joints,0.0019810013,0.0014367644,5.8994745e-05,0.0007082102238200605,9.614106602384709e-06,0.007483766879886389,0.001092062797397375
Data_stuck,YcbGelatinBox,BackFlow,point-to-plane,0.0032132482,0.002843369,0.00026095178,0.0004342927422840148,9.73107398749562e-06,0.006547402124851942,0.0006426341133192182
Data_stuck,YcbGelatinBox,BackFlow,robot-joints,0.0025032945,0.0016841796,0.00015850241,0.00040192287997342646,2.068001231236849e-05,0.006647405680269003,0.0006180115742608905
Data_stuck,YcbGelatinBox,OSVOS,point-to-plane,0.0044613644,0.003219878,0.00011894069,0.001558203250169754,1.945075018738862e-05,0.011617970652878284,0.002603492932394147
Data_stuck,YcbGelatinBox,OSVOS,robot-joints,0.0010419574,0.00019779947,5.0189752e-05,0.0004078562487848103,2.068001231236849e-05,0.006647405680269003,0.0006364767905324697
Data,YcbPottedMeatCan,BackFlow,point-to-plane,0.0027371617,0.0020409368,0.00013818534,0.000716314883902669,1.8843767975340597e-05,0.00562655134126544,0.0009076819405891001
Data,YcbPottedMeatCan,BackFlow,robot-joints,0.005552567,0.0033386792,0.00017867111,0.0012945247581228614,2.0087531083845533e-05,0.008344657719135284,0.0017781313508749008
Data,YcbPottedMeatCan,OSVOS,point-to-plane,0.005541522,0.004913605,0.00011406437,0.0023824102245271206,1.857337701949291e-05,0.01875617913901806,0.004131379537284374
Data,YcbPottedMeatCan,OSVOS,robot-joints,0.0033837948,0.00086968666,2.59165e-05,0.0013133768225088716,2.0087531083845533e-05,0.008204321376979351,0.0017881618114188313
Data_stuck,YcbPottedMeatCan,BackFlow,point-to-plane,0.0015056303,0.0009198356,2.5995982e-05,0.0006389716872945428,2.751979627646506e-05,0.008922492153942585,0.0008901103865355253
